@relation exuation
@attribute xone real
@attribute xtwo real
@attribute output {-1,1}
@data
-4.39073551557986,-4.78877406680872,-1
4.11196633145548,0.166417517799625,1
4.58670318467785,-0.626517493856833,1
-2.35721317887266,4.18153475447619,1
-3.04135651907663,0.298119102767409,-1
0.465775344160186,1.09083150724305,1
2.50028226292815,0.059908706436938,1
4.8046424877045,0.062230628290062,1
3.94681419164827,-4.07867290414626,-1
3.42010879467919,-0.68112932117003,1
-3.91044901586037,-2.50186262329988,-1
-3.21685002076795,-0.374628351078232,-1
-1.36334880223388,-0.891438942156046,-1
2.09023508522921,2.61733007322893,1
-2.18266312812149,-2.29382165177702,-1
-2.03275082606397,0.514358106538307,-1
0.08221883178588,0.388421347491685,-1
3.18304047527814,-1.999689106515,-1
0.399589063396338,-1.29801400464676,-1
1.42770876040443,-2.5825977684454,-1
-0.053082488307844,-3.64736022163735,-1
1.8724367103933,3.17858614590532,1
-1.8675391996506,-0.567219937977826,-1
2.47468539683624,0.366153480127337,1
4.13000679683183,-2.6840908731736,-1
1.79950363537973,-0.445907188621738,-1
-2.86861528420623,-4.80580990480669,-1
3.09890320531077,-4.66842717801076,-1
-2.04976138758715,0.181879652444246,-1
1.0609620701264,4.26375613160701,1
-4.79728656193194,-3.62217461917809,-1
-2.30390382814922,-0.974953729857207,-1
-0.259274675175508,-1.92707239663475,-1
-1.77974642899167,0.372066802262189,-1
0.123627083871258,-1.10577073112158,-1
-0.333791977703648,-4.0497359836016,-1
-2.70592094858799,-3.54652521556801,-1
0.980227058358528,-4.42021293840837,-1
-3.32615486329732,-0.08371487889091,-1
4.78470056495031,3.43260641205231,1
4.15054576746152,1.99502779835993,1
4.95459179211358,0.888612807031148,1
0.539645242397157,-4.9767856675383,-1
-3.86977271332361,-0.153635013722602,-1
-1.46334159911978,4.83466196435086,1
3.12123097164353,2.35307204989772,1
-1.27583994160562,-1.95941193406963,-1
4.69727490310314,1.52970838327445,1
-2.66794965288266,1.65871819286035,-1
